Species,Official gene symbol,Product type,Product description,UI
Mus musculus,RPL4,protein-coding gene,ribosomal protein L4,0.735
Mus musculus,RPS27,protein-coding gene,ribosomal protein S27,0.734
Mus musculus,COX8A,protein-coding gene,cytochrome c oxidase subunit 8A,0.732
Mus musculus,RPS15A,protein-coding gene,ribosomal protein S15a,0.73
Mus musculus,RPS29,protein-coding gene,ribosomal protein S29,0.73
Mus musculus,RPL27A,protein-coding gene,ribosomal protein L27a,0.728
Mus musculus,RPLP0,protein-coding gene,ribosomal protein lateral stalk subunit P0,0.728
Mus musculus,MT-RNR2,non-coding RNA,mitochondrially encoded 16S RNA,0.727
Mus musculus,RPS25,protein-coding gene,ribosomal protein S25,0.727
Mus musculus,RPS3A1,protein coding gene,ribosomal protein S3A1,0.727
Mus musculus,RPS18,protein-coding gene,ribosomal protein S18,0.724
Mus musculus,COX6A1,protein-coding gene,cytochrome c oxidase subunit 6A1,0.723
Mus musculus,RPL10,protein-coding gene,ribosomal protein L10,0.722
Mus musculus,RPL31,protein-coding gene,ribosomal protein L31,0.722
Mus musculus,RPL34,protein-coding gene,ribosomal protein L34,0.721
Mus musculus,RPS13,protein-coding gene,ribosomal protein S13,0.721
Mus musculus,RPS17,protein-coding gene,ribosomal protein S17,0.721
Mus musculus,ITM2B,protein-coding gene,integral membrane protein 2B,0.72
Mus musculus,RPL37A,protein-coding gene,ribosomal protein L37a,0.72
Mus musculus,RPS16,protein-coding gene,ribosomal protein S16,0.719
Mus musculus,DDX5,protein-coding gene,DEAD-box helicase 5,0.718
Mus musculus,RPS26,protein-coding gene,ribosomal protein S26,0.717
Mus musculus,RPS11,protein-coding gene,ribosomal protein S11,0.716
Mus musculus,HSPA8,protein-coding gene,heat shock protein family A (Hsp70) member 8,0.715
Mus musculus,RPS4X,protein-coding gene,ribosomal protein S4 X-linked,0.715
Mus musculus,CALM2,protein-coding gene,calmodulin 2,0.714
Mus musculus,RPL26,protein-coding gene,ribosomal protein L26,0.713
Mus musculus,RPL19,protein-coding gene,ribosomal protein L19,0.712
Mus musculus,COX7C,protein-coding gene,cytochrome c oxidase subunit 7C,0.709
Mus musculus,RPL35,protein-coding gene,ribosomal protein L35,0.709
Mus musculus,MT-CO1,protein-coding gene,mitochondrially encoded cytochrome c oxidase I,0.707
Mus musculus,COX6B1,protein-coding gene,cytochrome c oxidase subunit 6B1,0.705
Mus musculus,RPL35A,protein-coding gene,ribosomal protein L35a,0.704
Mus musculus,PTMA,protein-coding gene,prothymosin alpha,0.703
Mus musculus,RPL7,protein-coding gene,ribosomal protein L7,0.703
Mus musculus,RPL27,protein-coding gene,ribosomal protein L27,0.699
Mus musculus,RPL6,protein-coding gene,ribosomal protein L6,0.699
Mus musculus,RPS20,protein-coding gene,ribosomal protein S20,0.697
Mus musculus,ATP5J,protein coding gene,"ATP synthase, H+ transporting, mitochondrial F0 complex, subunit F",0.696
Mus musculus,CFL1,protein-coding gene,cofilin 1,0.696
Mus musculus,RPS21,protein-coding gene,ribosomal protein S21,0.696
Mus musculus,RPSA,protein-coding gene,ribosomal protein SA,0.695
Mus musculus,RPL36,protein-coding gene,ribosomal protein L36,0.694
Mus musculus,RPS10,protein-coding gene,ribosomal protein S10,0.693
Mus musculus,OAZ1,protein-coding gene,ornithine decarboxylase antizyme 1,0.692
Mus musculus,RP23-263B18.4,,,0.689
Mus musculus,RPL18,protein-coding gene,ribosomal protein L18,0.688
Mus musculus,NDUFA4,protein-coding gene,"NDUFA4, mitochondrial complex associated",0.687
Mus musculus,COX7A2,protein-coding gene,cytochrome c oxidase subunit 7A2,0.684
Mus musculus,EEF2,protein-coding gene,eukaryotic translation elongation factor 2,0.684
Mus musculus,NACA,protein-coding gene,nascent polypeptide associated complex subunit alpha,0.681
Mus musculus,ELOB,protein-coding gene,elongin B,0.68
Mus musculus,HNRNPA2B1,protein-coding gene,heterogeneous nuclear ribonucleoprotein A2/B1,0.679
Mus musculus,SON,protein-coding gene,SON DNA binding protein,0.679
Mus musculus,ATP5B,protein coding gene,"ATP synthase, H+ transporting mitochondrial F1 complex, beta subunit",0.678
Mus musculus,ATP5H,protein coding gene,"ATP synthase, H+ transporting, mitochondrial F0 complex, subunit D",0.676
Mus musculus,RPL28,protein-coding gene,ribosomal protein L28,0.676
Mus musculus,RPL30,protein-coding gene,ribosomal protein L30,0.676
Mus musculus,RPL38,protein-coding gene,ribosomal protein L38,0.676
Mus musculus,RPS28,protein-coding gene,ribosomal protein S28,0.674
Mus musculus,MYL6,protein-coding gene,myosin light chain 6,0.672
Mus musculus,YBX1,protein-coding gene,Y-box binding protein 1,0.671
Mus musculus,HINT1,protein-coding gene,histidine triad nucleotide binding protein 1,0.666
Mus musculus,RPS12,protein-coding gene,ribosomal protein S12,0.666
Mus musculus,RPS6,protein-coding gene,ribosomal protein S6,0.666
Mus musculus,ATP5J2,protein coding gene,"ATP synthase, H+ transporting, mitochondrial F0 complex, subunit F2",0.665
Mus musculus,NDUFA13,protein-coding gene,NADH:ubiquinone oxidoreductase subunit A13,0.664
Mus musculus,RPL36A,protein-coding gene,ribosomal protein L36a,0.664
Mus musculus,RPL39,protein-coding gene,ribosomal protein L39,0.664
Mus musculus,YWHAE,protein-coding gene,tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein epsilon,0.664
Mus musculus,RBM39,protein-coding gene,RNA binding motif protein 39,0.662
Mus musculus,CST3,protein-coding gene,cystatin C,0.661
Mus musculus,DYNLL1,protein-coding gene,dynein light chain LC8-type 1,0.66
Mus musculus,CDC42,protein-coding gene,cell division cycle 42,0.658
Mus musculus,ATP5E,protein coding gene,"ATP synthase, H+ transporting, mitochondrial F1 complex, epsilon subunit",0.657
Mus musculus,HNRNPK,protein-coding gene,heterogeneous nuclear ribonucleoprotein K,0.656
Mus musculus,PFDN5,protein-coding gene,prefoldin subunit 5,0.656
Mus musculus,RP23-82K1.6,,,0.655
Mus musculus,SEM1,protein-coding gene,"SEM1, 26S proteasome complex subunit",0.653
Mus musculus,NDUFA2,protein-coding gene,NADH:ubiquinone oxidoreductase subunit A2,0.65
Mus musculus,GAS5,non-coding RNA,growth arrest specific 5,0.648
Mus musculus,RPL17,protein-coding gene,ribosomal protein L17,0.648
Mus musculus,PFN1,protein-coding gene,profilin 1,0.647
Mus musculus,SELK,,,0.641
Mus musculus,TMSB10,protein-coding gene,thymosin beta 10,0.641
Mus musculus,WDR89,protein-coding gene,WD repeat domain 89,0.64
Mus musculus,HSP90AA1,protein-coding gene,heat shock protein 90 alpha family class A member 1,0.639
Mus musculus,SUB1,protein-coding gene,"SUB1 homolog, transcriptional regulator",0.638
Mus musculus,RPL22,protein-coding gene,ribosomal protein L22,0.635
Mus musculus,RPL10A,protein-coding gene,ribosomal protein L10a,0.634
Mus musculus,ATP5A1,protein coding gene,"ATP synthase, H+ transporting, mitochondrial F1 complex, alpha subunit 1",0.628
Mus musculus,SRRM2,protein-coding gene,serine/arginine repetitive matrix 2,0.627
Mus musculus,EEF1G,protein-coding gene,eukaryotic translation elongation factor 1 gamma,0.625
Mus musculus,COX5B,protein-coding gene,cytochrome c oxidase subunit 5B,0.623
Mus musculus,RSRP1,protein-coding gene,arginine and serine rich protein 1,0.623
Mus musculus,GABARAP,protein-coding gene,GABA type A receptor-associated protein,0.622
Mus musculus,MT-ND6,protein-coding gene,mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 6,0.622
Mus musculus,EIF5A,protein-coding gene,eukaryotic translation initiation factor 5A,0.62
Mus musculus,FTL1,protein coding gene,ferritin light polypeptide 1,0.616
Mus musculus,SLC25A4,protein-coding gene,solute carrier family 25 member 4,0.615
Mus musculus,ATPIF1,protein coding gene,ATPase inhibitory factor 1,0.613
Mus musculus,RPL12,protein-coding gene,ribosomal protein L12,0.613
Mus musculus,ATP5F1,protein coding gene,"ATP synthase, H+ transporting, mitochondrial F0 complex, subunit B1",0.61
Mus musculus,RPL5,protein-coding gene,ribosomal protein L5,0.61
Mus musculus,TUBB5,protein coding gene,"tubulin, beta 5 class I",0.609
Mus musculus,RPS2,protein-coding gene,ribosomal protein S2,0.608
Mus musculus,SEPW1,,,0.608
Mus musculus,ATP5L,protein coding gene,"ATP synthase, H+ transporting, mitochondrial F0 complex, subunit G",0.606
Mus musculus,PSMA7,protein-coding gene,proteasome subunit alpha 7,0.606
Mus musculus,SLC25A3,protein-coding gene,solute carrier family 25 member 3,0.606
Mus musculus,CNBP,protein-coding gene,CCHC-type zinc finger nucleic acid binding protein,0.605
Mus musculus,RP23-81C12.1,,,0.604
Mus musculus,BSG,protein-coding gene,basigin (Ok blood group),0.603
Mus musculus,GNB2L1,,,0.603
Mus musculus,NPM1,protein-coding gene,nucleophosmin 1,0.603
Mus musculus,PSMB1,protein-coding gene,proteasome subunit beta 1,0.602
Mus musculus,ATP5D,protein coding gene,"ATP synthase, H+ transporting, mitochondrial F1 complex, delta subunit",0.6
Mus musculus,RP23-8J15.4,,,0.599
Mus musculus,AC026478.1,,,0.597
Mus musculus,MINOS1,protein-coding gene,mitochondrial inner membrane organizing system 1,0.597
Mus musculus,NDUFA7,protein-coding gene,NADH:ubiquinone oxidoreductase subunit A7,0.596
Mus musculus,RBX1,protein-coding gene,ring-box 1,0.595
Mus musculus,EEF1B2,protein-coding gene,eukaryotic translation elongation factor 1 beta 2,0.594
Mus musculus,AC102483.1,,,0.593
Mus musculus,NEDD8,protein-coding gene,"neural precursor cell expressed, developmentally down-regulated 8",0.593
Mus musculus,SERBP1,protein-coding gene,SERPINE1 mRNA binding protein 1,0.593
Mus musculus,COX7B,protein-coding gene,cytochrome c oxidase subunit 7B,0.592
Mus musculus,MT-ND5,protein-coding gene,mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 5,0.589
Mus musculus,NDUFA6,protein-coding gene,NADH:ubiquinone oxidoreductase subunit A6,0.589
Mus musculus,ATP5C1,protein coding gene,"ATP synthase, H+ transporting, mitochondrial F1 complex, gamma polypeptide 1",0.588
Mus musculus,EEF1A1,protein-coding gene,eukaryotic translation elongation factor 1 alpha 1,0.587
Mus musculus,SLC25A5,protein-coding gene,solute carrier family 25 member 5,0.587
Mus musculus,ARPC2,protein-coding gene,actin related protein 2/3 complex subunit 2,0.585
