Species,Official gene symbol,Product type,Product description,UI
Mus musculus,PARL,protein-coding gene,presenilin associated rhomboid like,0.059
Mus musculus,AKR7A5,protein coding gene,"aldo-keto reductase family 7, member A5 (aflatoxin aldehyde reductase)",0.058
Mus musculus,BAG6,protein-coding gene,BCL2 associated athanogene 6,0.058
Mus musculus,COPA,protein-coding gene,coatomer protein complex subunit alpha,0.058
Mus musculus,DDT,protein-coding gene,D-dopachrome tautomerase,0.058
Mus musculus,ECE1,protein-coding gene,endothelin converting enzyme 1,0.058
Mus musculus,GLS,protein-coding gene,glutaminase,0.058
Mus musculus,HTRA1,protein-coding gene,HtrA serine peptidase 1,0.058
Mus musculus,RAB28,protein-coding gene,"RAB28, member RAS oncogene family",0.058
Mus musculus,RP23-78F1.6,,,0.058
Mus musculus,TNRC6A,protein-coding gene,trinucleotide repeat containing 6A,0.058
Mus musculus,COPS2,protein-coding gene,COP9 signalosome subunit 2,0.058
Mus musculus,GPCPD1,protein-coding gene,glycerophosphocholine phosphodiesterase 1,0.058
Mus musculus,HBB-BT,protein coding gene,"hemoglobin, beta adult t chain",0.058
Mus musculus,ISLR2,protein-coding gene,immunoglobulin superfamily containing leucine rich repeat 2,0.058
Mus musculus,NUDT3,protein-coding gene,nudix hydrolase 3,0.058
Mus musculus,OARD1,protein-coding gene,O-acyl-ADP-ribose deacylase 1,0.058
Mus musculus,PDE4B,protein-coding gene,phosphodiesterase 4B,0.058
Mus musculus,RP23-79E13.7,,,0.058
Mus musculus,TSPAN5,protein-coding gene,tetraspanin 5,0.058
Mus musculus,VPS4B,protein-coding gene,vacuolar protein sorting 4 homolog B,0.058
Mus musculus,GLRX,protein-coding gene,glutaredoxin,0.058
Mus musculus,PTPRN,protein-coding gene,"protein tyrosine phosphatase, receptor type N",0.058
Mus musculus,CDC16,protein-coding gene,cell division cycle 16,0.058
Mus musculus,EBP,protein-coding gene,"EBP, cholestenol delta-isomerase",0.058
Mus musculus,MRTO4,protein-coding gene,"MRT4 homolog, ribosome maturation factor",0.058
Mus musculus,PSME3,protein-coding gene,proteasome activator subunit 3,0.058
Mus musculus,PTPMT1,protein-coding gene,"protein tyrosine phosphatase, mitochondrial 1",0.058
Mus musculus,TAF13,protein-coding gene,TATA-box binding protein associated factor 13,0.058
Mus musculus,ADO,protein-coding gene,2-aminoethanethiol dioxygenase,0.058
Mus musculus,GPRASP1,protein-coding gene,G protein-coupled receptor associated sorting protein 1,0.058
Mus musculus,KLHL9,protein-coding gene,kelch like family member 9,0.058
Mus musculus,ZFP644,protein coding gene,zinc finger protein 644,0.058
Mus musculus,TIMM22,protein-coding gene,translocase of inner mitochondrial membrane 22,0.057
Mus musculus,OSBPL1A,protein-coding gene,oxysterol binding protein like 1A,0.057
Mus musculus,TAOK3,protein-coding gene,TAO kinase 3,0.057
Mus musculus,AC129609.2,,,0.057
Mus musculus,ARID5B,protein-coding gene,AT-rich interaction domain 5B,0.057
Mus musculus,RP23-296C23.1,,,0.057
Mus musculus,ALAD,protein-coding gene,aminolevulinate dehydratase,0.057
Mus musculus,ARHGAP31,protein-coding gene,Rho GTPase activating protein 31,0.057
Mus musculus,CLDN7,protein-coding gene,claudin 7,0.057
Mus musculus,CTTN,protein-coding gene,cortactin,0.057
Mus musculus,EMC4,protein-coding gene,ER membrane protein complex subunit 4,0.057
Mus musculus,ERRFI1,protein-coding gene,ERBB receptor feedback inhibitor 1,0.057
Mus musculus,ESAM,protein-coding gene,endothelial cell adhesion molecule,0.057
Mus musculus,LRP10,protein-coding gene,LDL receptor related protein 10,0.057
Mus musculus,MRPS25,protein-coding gene,mitochondrial ribosomal protein S25,0.057
Mus musculus,PCOLCE,protein-coding gene,procollagen C-endopeptidase enhancer,0.057
Mus musculus,RP23-221O14.10,,,0.057
Mus musculus,VEZF1,protein-coding gene,vascular endothelial zinc finger 1,0.057
Mus musculus,CNOT4,protein-coding gene,CCR4-NOT transcription complex subunit 4,0.057
Mus musculus,KCTD13,protein-coding gene,potassium channel tetramerization domain containing 13,0.057
Mus musculus,MPHOSPH8,protein-coding gene,M-phase phosphoprotein 8,0.057
Mus musculus,PDPN,protein-coding gene,podoplanin,0.057
Mus musculus,SMAD7,protein-coding gene,SMAD family member 7,0.057
Mus musculus,RP23-231E23.4,,,0.057
Mus musculus,PPM1A,protein-coding gene,"protein phosphatase, Mg2+/Mn2+ dependent 1A",0.057
Mus musculus,ACADM,protein-coding gene,acyl-CoA dehydrogenase medium chain,0.056
Mus musculus,DHRS3,protein-coding gene,dehydrogenase/reductase 3,0.056
Mus musculus,H2-T23,protein coding gene,"histocompatibility 2, T region locus 23",0.056
Mus musculus,IGFBP5,protein-coding gene,insulin like growth factor binding protein 5,0.056
Mus musculus,OST4,protein-coding gene,"oligosaccharyltransferase complex subunit 4, non-catalytic",0.056
Mus musculus,SFRP1,protein-coding gene,secreted frizzled related protein 1,0.056
Mus musculus,TMEM9,protein-coding gene,transmembrane protein 9,0.056
Mus musculus,VSIR,protein-coding gene,V-set immunoregulatory receptor,0.056
Mus musculus,CDC42EP3,protein-coding gene,CDC42 effector protein 3,0.056
Mus musculus,ABHD17B,protein-coding gene,abhydrolase domain containing 17B,0.056
Mus musculus,BPGM,protein-coding gene,bisphosphoglycerate mutase,0.056
Mus musculus,CBY1,protein-coding gene,"chibby family member 1, beta catenin antagonist",0.056
Mus musculus,CDC20,protein-coding gene,cell division cycle 20,0.056
Mus musculus,CHD7,protein-coding gene,chromodomain helicase DNA binding protein 7,0.056
Mus musculus,DTNBP1,protein-coding gene,dystrobrevin binding protein 1,0.056
Mus musculus,EMC2,protein-coding gene,ER membrane protein complex subunit 2,0.056
Mus musculus,GATAD2B,protein-coding gene,GATA zinc finger domain containing 2B,0.056
Mus musculus,GRIA1,protein-coding gene,glutamate ionotropic receptor AMPA type subunit 1,0.056
Mus musculus,HDHD2,protein-coding gene,haloacid dehalogenase like hydrolase domain containing 2,0.056
Mus musculus,IFT27,protein-coding gene,intraflagellar transport 27,0.056
Mus musculus,LHFP,protein coding gene,lipoma HMGIC fusion partner,0.056
Mus musculus,MLLT3,protein-coding gene,"MLLT3, super elongation complex subunit",0.056
Mus musculus,NFASC,protein-coding gene,neurofascin,0.056
Mus musculus,NSMCE2,protein-coding gene,"NSE2 (MMS21) homolog, SMC5-SMC6 complex SUMO ligase",0.056
Mus musculus,PPP1R14A,protein-coding gene,protein phosphatase 1 regulatory inhibitor subunit 14A,0.056
Mus musculus,PRPF38A,protein-coding gene,pre-mRNA processing factor 38A,0.056
Mus musculus,RABEP1,protein-coding gene,"rabaptin, RAB GTPase binding effector protein 1",0.056
Mus musculus,SPC25,protein-coding gene,"SPC25, NDC80 kinetochore complex component",0.056
Mus musculus,TNKS2,protein-coding gene,tankyrase 2,0.056
Mus musculus,XPO1,protein-coding gene,exportin 1,0.056
Mus musculus,H19,non-coding RNA,"H19, imprinted maternally expressed transcript",0.056
Mus musculus,EXOSC4,protein-coding gene,exosome component 4,0.056
Mus musculus,MED8,protein-coding gene,mediator complex subunit 8,0.056
Mus musculus,RAE1,protein-coding gene,ribonucleic acid export 1,0.056
Mus musculus,SLC35B2,protein-coding gene,solute carrier family 35 member B2,0.056
Mus musculus,TMX2,protein-coding gene,thioredoxin related transmembrane protein 2,0.056
Mus musculus,DDX42,protein-coding gene,DEAD-box helicase 42,0.056
Mus musculus,EIF3J1,protein coding gene,"eukaryotic translation initiation factor 3, subunit J1",0.056
Mus musculus,RP24-447D19.3,,,0.056
Mus musculus,PLEKHB1,protein-coding gene,pleckstrin homology domain containing B1,0.055
Mus musculus,DDX21,protein-coding gene,DExD-box helicase 21,0.055
Mus musculus,SEPT1,protein-coding gene,septin 1,0.055
Mus musculus,BAIAP2,protein-coding gene,BAI1 associated protein 2,0.055
Mus musculus,CD48,protein-coding gene,CD48 molecule,0.055
Mus musculus,JUP,protein-coding gene,junction plakoglobin,0.055
Mus musculus,MRPS23,protein-coding gene,mitochondrial ribosomal protein S23,0.055
Mus musculus,PGK1,protein-coding gene,phosphoglycerate kinase 1,0.055
Mus musculus,SDC2,protein-coding gene,syndecan 2,0.055
Mus musculus,TMEM205,protein-coding gene,transmembrane protein 205,0.055
Mus musculus,CDCA7,protein-coding gene,cell division cycle associated 7,0.055
Mus musculus,CXADR,protein-coding gene,"CXADR, Ig-like cell adhesion molecule",0.055
Mus musculus,DPYSL5,protein-coding gene,dihydropyrimidinase like 5,0.055
Mus musculus,ELOVL6,protein-coding gene,ELOVL fatty acid elongase 6,0.055
Mus musculus,HIVEP2,protein-coding gene,human immunodeficiency virus type I enhancer binding protein 2,0.055
Mus musculus,KLF3,protein-coding gene,Kruppel like factor 3,0.055
Mus musculus,KNOP1,protein-coding gene,lysine rich nucleolar protein 1,0.055
Mus musculus,LIMA1,protein-coding gene,LIM domain and actin binding 1,0.055
Mus musculus,LXN,protein-coding gene,latexin,0.055
Mus musculus,NID1,protein-coding gene,nidogen 1,0.055
Mus musculus,PIH1D1,protein-coding gene,PIH1 domain containing 1,0.055
Mus musculus,TMOD3,protein-coding gene,tropomodulin 3,0.055
Mus musculus,TPX2,protein-coding gene,"TPX2, microtubule nucleation factor",0.055
Mus musculus,TRP53I11,protein coding gene,transformation related protein 53 inducible protein 11,0.055
Mus musculus,EMP1,protein-coding gene,epithelial membrane protein 1,0.055
Mus musculus,TUBB6,protein-coding gene,tubulin beta 6 class V,0.055
Mus musculus,EXOSC7,protein-coding gene,exosome component 7,0.055
Mus musculus,FAM134A,,,0.055
Mus musculus,RABGGTB,protein-coding gene,Rab geranylgeranyltransferase subunit beta,0.055
Mus musculus,AHCYL1,protein-coding gene,adenosylhomocysteinase like 1,0.054
Mus musculus,CAV1,protein-coding gene,caveolin 1,0.054
Mus musculus,EDNRB,protein-coding gene,endothelin receptor type B,0.054
Mus musculus,IQSEC1,protein-coding gene,IQ motif and Sec7 domain 1,0.054
Mus musculus,LAPTM4B,protein-coding gene,lysosomal protein transmembrane 4 beta,0.054
Mus musculus,MXD4,protein-coding gene,MAX dimerization protein 4,0.054
Mus musculus,MYH10,protein-coding gene,myosin heavy chain 10,0.054
Mus musculus,RFK,protein-coding gene,riboflavin kinase,0.054
Mus musculus,RP23-285D3.2,,,0.054
Mus musculus,RP23-58B7.2,,,0.054
Mus musculus,RP24-175C20.9,,,0.054
Mus musculus,TEX264,protein-coding gene,testis expressed 264,0.054
Mus musculus,ZC2HC1A,protein-coding gene,zinc finger C2HC-type containing 1A,0.054
Mus musculus,ASF1A,protein-coding gene,anti-silencing function 1A histone chaperone,0.054
Mus musculus,HTATSF1,protein-coding gene,HIV-1 Tat specific factor 1,0.054
Mus musculus,IFITM1,protein-coding gene,interferon induced transmembrane protein 1,0.054
Mus musculus,LMO1,protein-coding gene,LIM domain only 1,0.054
Mus musculus,METTL23,protein-coding gene,methyltransferase like 23,0.054
Mus musculus,MMADHC,protein-coding gene,"methylmalonic aciduria and homocystinuria, cblD type",0.054
Mus musculus,RPS6KB1,protein-coding gene,ribosomal protein S6 kinase B1,0.054
Mus musculus,SF3A3,protein-coding gene,splicing factor 3a subunit 3,0.054
Mus musculus,SNAP23,protein-coding gene,synaptosome associated protein 23,0.054
Mus musculus,VTA1,protein-coding gene,vesicle trafficking 1,0.054
Mus musculus,ZFP326,protein coding gene,zinc finger protein 326,0.054
Mus musculus,PAK3,protein-coding gene,p21 (RAC1) activated kinase 3,0.054
Mus musculus,BRIX1,protein-coding gene,"BRX1, biogenesis of ribosomes",0.054
Mus musculus,EIF1AD,protein-coding gene,eukaryotic translation initiation factor 1A domain containing,0.054
Mus musculus,FAM204A,protein-coding gene,family with sequence similarity 204 member A,0.054
Mus musculus,JAGN1,protein-coding gene,jagunal homolog 1,0.054
Mus musculus,KRT19,protein-coding gene,keratin 19,0.054
Mus musculus,MICU3,protein-coding gene,mitochondrial calcium uptake family member 3,0.054
Mus musculus,MRPS33,protein-coding gene,mitochondrial ribosomal protein S33,0.054
Mus musculus,NDRG3,protein-coding gene,NDRG family member 3,0.054
Mus musculus,RABL6,protein-coding gene,"RAB, member RAS oncogene family like 6",0.054
Mus musculus,TMEFF2,protein-coding gene,transmembrane protein with EGF like and two follistatin like domains 2,0.054
Mus musculus,TMEM151A,protein-coding gene,transmembrane protein 151A,0.054
Mus musculus,PLIN3,protein-coding gene,perilipin 3,0.054
Mus musculus,TMEM242,protein-coding gene,transmembrane protein 242,0.053
Mus musculus,APPBP2,protein-coding gene,amyloid beta precursor protein binding protein 2,0.053
Mus musculus,GNL3L,protein-coding gene,G protein nucleolar 3 like,0.053
Mus musculus,RP24-322F4.3,,,0.053
Mus musculus,ZFP106,protein coding gene,zinc finger protein 106,0.053
Mus musculus,RP23-184H3.5,,,0.053
Mus musculus,TBRG1,protein-coding gene,transforming growth factor beta regulator 1,0.053
Mus musculus,ZC3HAV1,protein-coding gene,"zinc finger CCCH-type containing, antiviral 1",0.053
Mus musculus,GM10736,,,0.053
Mus musculus,CYBB,protein-coding gene,cytochrome b-245 beta chain,0.053
Mus musculus,DHRS1,protein-coding gene,dehydrogenase/reductase 1,0.053
Mus musculus,GNGT2,protein-coding gene,G protein subunit gamma transducin 2,0.053
Mus musculus,GUSB,protein-coding gene,glucuronidase beta,0.053
Mus musculus,LY6C1,protein coding gene,"lymphocyte antigen 6 complex, locus C1",0.053
Mus musculus,LYN,protein-coding gene,"LYN proto-oncogene, Src family tyrosine kinase",0.053
Mus musculus,NAPSA,protein-coding gene,napsin A aspartic peptidase,0.053
Mus musculus,PLS3,protein-coding gene,plastin 3,0.053
Mus musculus,PTS,protein-coding gene,6-pyruvoyltetrahydropterin synthase,0.053
Mus musculus,RP23-201O19.1,,,0.053
Mus musculus,STARD7,protein-coding gene,StAR related lipid transfer domain containing 7,0.053
Mus musculus,STK17B,protein-coding gene,serine/threonine kinase 17b,0.053
Mus musculus,TBL1X,protein-coding gene,transducin beta like 1 X-linked,0.053
Mus musculus,ABHD2,protein-coding gene,abhydrolase domain containing 2,0.053
Mus musculus,ABHD8,protein-coding gene,abhydrolase domain containing 8,0.053
Mus musculus,BMP2K,protein-coding gene,BMP2 inducible kinase,0.053
Mus musculus,BMPR2,protein-coding gene,bone morphogenetic protein receptor type 2,0.053
Mus musculus,CCDC80,protein-coding gene,coiled-coil domain containing 80,0.053
Mus musculus,DESI2,protein-coding gene,desumoylating isopeptidase 2,0.053
Mus musculus,DUSP6,protein-coding gene,dual specificity phosphatase 6,0.053
Mus musculus,FIBP,protein-coding gene,FGF1 intracellular binding protein,0.053
Mus musculus,MARCH7,protein-coding gene,membrane associated ring-CH-type finger 7,0.053
Mus musculus,MED25,protein-coding gene,mediator complex subunit 25,0.053
Mus musculus,MPPED1,protein-coding gene,metallophosphoesterase domain containing 1,0.053
Mus musculus,NAA15,protein-coding gene,"N(alpha)-acetyltransferase 15, NatA auxiliary subunit",0.053
Mus musculus,PALM,protein-coding gene,paralemmin,0.053
Mus musculus,SCRN1,protein-coding gene,secernin 1,0.053
Mus musculus,TTC1,protein-coding gene,tetratricopeptide repeat domain 1,0.053
Mus musculus,ENO2,protein-coding gene,enolase 2,0.053
Mus musculus,TNFRSF12A,protein-coding gene,TNF receptor superfamily member 12A,0.053
Mus musculus,AKT1,protein-coding gene,AKT serine/threonine kinase 1,0.053
Mus musculus,ANKRD17,protein-coding gene,ankyrin repeat domain 17,0.053
Mus musculus,CCZ1,protein-coding gene,"CCZ1 homolog, vacuolar protein trafficking and biogenesis associated",0.053
Mus musculus,DPM2,protein-coding gene,"dolichyl-phosphate mannosyltransferase subunit 2, regulatory",0.053
Mus musculus,EXOSC5,protein-coding gene,exosome component 5,0.053
Mus musculus,MESDC2,,,0.053
Mus musculus,NGDN,protein-coding gene,neuroguidin,0.053
Mus musculus,RP23-9L16.5,,,0.053
Mus musculus,SCAMP3,protein-coding gene,secretory carrier membrane protein 3,0.053
Mus musculus,ACSL5,protein-coding gene,acyl-CoA synthetase long chain family member 5,0.052
Mus musculus,AIP,protein-coding gene,aryl hydrocarbon receptor interacting protein,0.052
Mus musculus,AMFR,protein-coding gene,autocrine motility factor receptor,0.052
Mus musculus,ARHGEF1,protein-coding gene,Rho guanine nucleotide exchange factor 1,0.052
Mus musculus,CNDP2,protein-coding gene,carnosine dipeptidase 2,0.052
Mus musculus,CYTH4,protein-coding gene,cytohesin 4,0.052
Mus musculus,DHRS4,protein-coding gene,dehydrogenase/reductase 4,0.052
Mus musculus,GSTA4,protein-coding gene,glutathione S-transferase alpha 4,0.052
Mus musculus,LASP1,protein-coding gene,LIM and SH3 protein 1,0.052
Mus musculus,MAEA,protein-coding gene,macrophage erythroblast attacher,0.052
Mus musculus,MGLL,protein-coding gene,monoglyceride lipase,0.052
Mus musculus,MRPS6,protein-coding gene,mitochondrial ribosomal protein S6,0.052
Mus musculus,SH3BP5,protein-coding gene,SH3 domain binding protein 5,0.052
Mus musculus,SKAP2,protein-coding gene,src kinase associated phosphoprotein 2,0.052
Mus musculus,AK6,protein-coding gene,adenylate kinase 6,0.052
Mus musculus,FAM168B,protein-coding gene,family with sequence similarity 168 member B,0.052
Mus musculus,MSL1,protein-coding gene,male specific lethal 1 homolog,0.052
Mus musculus,RHOJ,protein-coding gene,ras homolog family member J,0.052
Mus musculus,SEPT9,protein-coding gene,septin 9,0.052
Mus musculus,TMEM158,protein-coding gene,transmembrane protein 158 (gene/pseudogene),0.052
Mus musculus,TTYH2,protein-coding gene,tweety family member 2,0.052
Mus musculus,RP24-394G12.1,,,0.052
Mus musculus,ATP9A,protein-coding gene,ATPase phospholipid transporting 9A (putative),0.052
Mus musculus,DNPEP,protein-coding gene,aspartyl aminopeptidase,0.052
Mus musculus,GMFB,protein-coding gene,glia maturation factor beta,0.052
Mus musculus,NRSN1,protein-coding gene,neurensin 1,0.052
Mus musculus,SMIM20,protein-coding gene,small integral membrane protein 20,0.052
Mus musculus,SMU1,protein-coding gene,"SMU1, DNA replication regulator and spliceosomal factor",0.052
Mus musculus,TIMM10,protein-coding gene,translocase of inner mitochondrial membrane 10,0.052
Mus musculus,CLDN11,protein-coding gene,claudin 11,0.052
Mus musculus,MARF1,protein-coding gene,meiosis regulator and mRNA stability factor 1,0.052
Mus musculus,MOBP,protein-coding gene,myelin-associated oligodendrocyte basic protein,0.052
Mus musculus,RNF4,protein-coding gene,ring finger protein 4,0.052
Mus musculus,SCN2A1,,,0.052
Mus musculus,GFER,protein-coding gene,"growth factor, augmenter of liver regeneration",0.052
Mus musculus,LRRC59,protein-coding gene,leucine rich repeat containing 59,0.052
Mus musculus,AC162898.6,,,0.052
Mus musculus,BIN2,protein-coding gene,bridging integrator 2,0.052
Mus musculus,GM10689,,,0.052
Mus musculus,SYN2,protein-coding gene,synapsin II,0.051
Mus musculus,TMCC3,protein-coding gene,transmembrane and coiled-coil domain family 3,0.051
Mus musculus,TSPAN2,protein-coding gene,tetraspanin 2,0.051
Mus musculus,DOCK10,protein-coding gene,dedicator of cytokinesis 10,0.051
Mus musculus,LGALS3BP,protein-coding gene,galectin 3 binding protein,0.051
Mus musculus,RP23-128A11.5,,,0.051
Mus musculus,CEBPZ,protein-coding gene,CCAAT enhancer binding protein zeta,0.051
Mus musculus,KCTD12,protein-coding gene,potassium channel tetramerization domain containing 12,0.051
Mus musculus,NMD3,protein-coding gene,NMD3 ribosome export adaptor,0.051
Mus musculus,SCAMP2,protein-coding gene,secretory carrier membrane protein 2,0.051
Mus musculus,AC130827.2,,,0.051
Mus musculus,CAT,protein-coding gene,catalase,0.051
Mus musculus,CCND1,protein-coding gene,cyclin D1,0.051
Mus musculus,CKMT1,protein coding gene,"creatine kinase, mitochondrial 1, ubiquitous",0.051
Mus musculus,CYFIP2,protein-coding gene,cytoplasmic FMR1 interacting protein 2,0.051
Mus musculus,DLD,protein-coding gene,dihydrolipoamide dehydrogenase,0.051
Mus musculus,FBXO9,protein-coding gene,F-box protein 9,0.051
Mus musculus,GDE1,protein-coding gene,glycerophosphodiester phosphodiesterase 1,0.051
Mus musculus,GM23935,miRNA gene,"predicted gene, 23935",0.051
Mus musculus,ITGB2,protein-coding gene,integrin subunit beta 2,0.051
Mus musculus,KIDINS220,protein-coding gene,kinase D interacting substrate 220,0.051
Mus musculus,MAL,protein-coding gene,"mal, T cell differentiation protein",0.051
Mus musculus,MARK3,protein-coding gene,microtubule affinity regulating kinase 3,0.051
Mus musculus,MCRS1,protein-coding gene,microspherule protein 1,0.051
Mus musculus,MYL9,protein-coding gene,myosin light chain 9,0.051
Mus musculus,PFKL,protein-coding gene,"phosphofructokinase, liver type",0.051
Mus musculus,PLAT,protein-coding gene,"plasminogen activator, tissue type",0.051
Mus musculus,SLC2A1,protein-coding gene,solute carrier family 2 member 1,0.051
Mus musculus,SLC50A1,protein-coding gene,solute carrier family 50 member 1,0.051
Mus musculus,SMAGP,protein-coding gene,small cell adhesion glycoprotein,0.051
Mus musculus,SPRY2,protein-coding gene,sprouty RTK signaling antagonist 2,0.051
Mus musculus,TGFBI,protein-coding gene,transforming growth factor beta induced,0.051
Mus musculus,ZMYND8,protein-coding gene,zinc finger MYND-type containing 8,0.051
Mus musculus,CCNB1,protein-coding gene,cyclin B1,0.051
Mus musculus,DHX9,protein-coding gene,DExH-box helicase 9,0.051
Mus musculus,ERLEC1,protein-coding gene,endoplasmic reticulum lectin 1,0.051
Mus musculus,JKAMP,protein-coding gene,JNK1/MAPK8 associated membrane protein,0.051
Mus musculus,LARP7,protein-coding gene,La ribonucleoprotein domain family member 7,0.051
Mus musculus,MPST,protein-coding gene,mercaptopyruvate sulfurtransferase,0.051
Mus musculus,NAE1,protein-coding gene,NEDD8 activating enzyme E1 subunit 1,0.051
Mus musculus,PHF14,protein-coding gene,PHD finger protein 14,0.051
Mus musculus,PPP5C,protein-coding gene,protein phosphatase 5 catalytic subunit,0.051
Mus musculus,RACGAP1,protein-coding gene,Rac GTPase activating protein 1,0.051
Mus musculus,RNASEH2B,protein-coding gene,ribonuclease H2 subunit B,0.051
Mus musculus,SCCPDH,protein-coding gene,saccharopine dehydrogenase (putative),0.051
Mus musculus,DYNC1LI1,protein-coding gene,dynein cytoplasmic 1 light intermediate chain 1,0.051
Mus musculus,KARS,protein-coding gene,lysyl-tRNA synthetase,0.051
Mus musculus,MRPL50,protein-coding gene,mitochondrial ribosomal protein L50,0.051
Mus musculus,NUDT9,protein-coding gene,nudix hydrolase 9,0.051
Mus musculus,RBCK1,protein-coding gene,RANBP2-type and C3HC4-type zinc finger containing 1,0.051
Mus musculus,SLC25A17,protein-coding gene,solute carrier family 25 member 17,0.051
Mus musculus,SLC25A51,protein-coding gene,solute carrier family 25 member 51,0.051
Mus musculus,DUSP3,protein-coding gene,dual specificity phosphatase 3,0.05
Mus musculus,EAPP,protein-coding gene,E2F associated phosphoprotein,0.05
Mus musculus,LPL,protein-coding gene,lipoprotein lipase,0.05
Mus musculus,MLLT4,,,0.05
Mus musculus,MPEG1,protein-coding gene,macrophage expressed 1,0.05
Mus musculus,MRPS11,protein-coding gene,mitochondrial ribosomal protein S11,0.05
Mus musculus,PCBD1,protein-coding gene,pterin-4 alpha-carbinolamine dehydratase 1,0.05
Mus musculus,PLEC,protein-coding gene,plectin,0.05
Mus musculus,SLC31A1,protein-coding gene,solute carrier family 31 member 1,0.05
Mus musculus,AMER2,protein-coding gene,APC membrane recruitment protein 2,0.05
Mus musculus,APOD,protein-coding gene,apolipoprotein D,0.05
Mus musculus,CADM3,protein-coding gene,cell adhesion molecule 3,0.05
Mus musculus,CDH2,protein-coding gene,cadherin 2,0.05
Mus musculus,CMTM3,protein-coding gene,CKLF like MARVEL transmembrane domain containing 3,0.05
Mus musculus,DENND5A,protein-coding gene,DENN domain containing 5A,0.05
Mus musculus,ITGA6,protein-coding gene,integrin subunit alpha 6,0.05
Mus musculus,LOCKD,lincRNA gene,lncRNA downstream of Cdkn1b,0.05
Mus musculus,MFAP4,protein-coding gene,microfibril associated protein 4,0.05
Mus musculus,PBK,protein-coding gene,PDZ binding kinase,0.05
Mus musculus,PSPH,protein-coding gene,phosphoserine phosphatase,0.05
Mus musculus,RBFOX1,protein-coding gene,RNA binding fox-1 homolog 1,0.05
Mus musculus,RIMKLB,protein-coding gene,ribosomal modification protein rimK like family member B,0.05
Mus musculus,RP23-178I17.4,,,0.05
Mus musculus,RP24-95O4.1,,,0.05
Mus musculus,SMIM15,protein-coding gene,small integral membrane protein 15,0.05
Mus musculus,SYCE2,protein-coding gene,synaptonemal complex central element protein 2,0.05
Mus musculus,TACC3,protein-coding gene,transforming acidic coiled-coil containing protein 3,0.05
Mus musculus,TMEM128,protein-coding gene,transmembrane protein 128,0.05
Mus musculus,TMEM57,,,0.05
Mus musculus,GYG,protein coding gene,glycogenin,0.05
Mus musculus,ASH2L,protein-coding gene,"ASH2 like, histone lysine methyltransferase complex subunit",0.05
Mus musculus,BSCL2,protein-coding gene,"BSCL2, seipin lipid droplet biogenesis associated",0.05
Mus musculus,CHGA,protein-coding gene,chromogranin A,0.05
Mus musculus,CUL5,protein-coding gene,cullin 5,0.05
Mus musculus,FAIM2,protein-coding gene,Fas apoptotic inhibitory molecule 2,0.05
Mus musculus,GNAS,protein-coding gene,GNAS complex locus,0.05
Mus musculus,PEX19,protein-coding gene,peroxisomal biogenesis factor 19,0.05
Mus musculus,RNF115,protein-coding gene,ring finger protein 115,0.05
Mus musculus,YRDC,protein-coding gene,yrdC N6-threonylcarbamoyltransferase domain containing,0.05
Mus musculus,CLDN3,protein-coding gene,claudin 3,0.05
Mus musculus,DNTTIP2,protein-coding gene,deoxynucleotidyltransferase terminal interacting protein 2,0.05
Mus musculus,PPP4R3B,protein-coding gene,protein phosphatase 4 regulatory subunit 3B,0.05
Mus musculus,RPSA-PS9,,,0.05
Mus musculus,TMEM55B,,,0.049
Mus musculus,TMEM60,protein-coding gene,transmembrane protein 60,0.049
Mus musculus,TXNDC12,protein-coding gene,thioredoxin domain containing 12,0.049
Mus musculus,TPPP,protein-coding gene,tubulin polymerization promoting protein,0.049
Mus musculus,2310039H08RIK,protein coding gene,RIKEN cDNA 2310039H08 gene,0.049
Mus musculus,RUNX1,protein-coding gene,runt related transcription factor 1,0.049
Mus musculus,GOLT1B,protein-coding gene,golgi transport 1B,0.049
Mus musculus,RNF126,protein-coding gene,ring finger protein 126,0.049
Mus musculus,RPS2-PS10,,,0.049
Mus musculus,AIG1,protein-coding gene,androgen induced 1,0.049
Mus musculus,ECI1,protein-coding gene,enoyl-CoA delta isomerase 1,0.049
Mus musculus,MRPS5,protein-coding gene,mitochondrial ribosomal protein S5,0.049
Mus musculus,TPP1,protein-coding gene,tripeptidyl peptidase 1,0.049
Mus musculus,AP2B1,protein-coding gene,adaptor related protein complex 2 subunit beta 1,0.049
Mus musculus,CENPM,protein-coding gene,centromere protein M,0.049
Mus musculus,EXOC3,protein-coding gene,exocyst complex component 3,0.049
Mus musculus,FAIM,protein-coding gene,Fas apoptotic inhibitory molecule,0.049
Mus musculus,FAM49A,protein-coding gene,family with sequence similarity 49 member A,0.049
Mus musculus,IPO5,protein-coding gene,importin 5,0.049
Mus musculus,NELL2,protein-coding gene,neural EGFL like 2,0.049
Mus musculus,RGS4,protein-coding gene,regulator of G protein signaling 4,0.049
Mus musculus,SAFB,protein-coding gene,scaffold attachment factor B,0.049
Mus musculus,SNRNP48,protein-coding gene,small nuclear ribonucleoprotein U11/U12 subunit 48,0.049
Mus musculus,CDK16,protein-coding gene,cyclin dependent kinase 16,0.049
Mus musculus,RP23-381B19.2,,,0.049
Mus musculus,RP23-438J1.5,,,0.049
Mus musculus,RP24-322E6.1,,,0.049
Mus musculus,S100A8,protein-coding gene,S100 calcium binding protein A8,0.049
