Species,Official gene symbol,Product type,Product description,UI
Homo sapiens,RPL13,protein-coding gene,ribosomal protein L13,0.184
Homo sapiens,EIF1,protein-coding gene,eukaryotic translation initiation factor 1,0.183
Homo sapiens,MT-RNR2,non-coding RNA,mitochondrially encoded 16S RNA,0.183
Homo sapiens,MT-CO3,protein-coding gene,mitochondrially encoded cytochrome c oxidase III,0.182
Homo sapiens,MALAT1,non-coding RNA,metastasis associated lung adenocarcinoma transcript 1,0.181
Homo sapiens,MT-CO1,protein-coding gene,mitochondrially encoded cytochrome c oxidase I,0.181
Homo sapiens,MT-CO2,protein-coding gene,mitochondrially encoded cytochrome c oxidase II,0.181
Homo sapiens,RPL19,protein-coding gene,ribosomal protein L19,0.181
Homo sapiens,RPL32,protein-coding gene,ribosomal protein L32,0.181
Homo sapiens,RPL34,protein-coding gene,ribosomal protein L34,0.181
Homo sapiens,RPLP1,protein-coding gene,ribosomal protein lateral stalk subunit P1,0.181
Homo sapiens,RPLP2,protein-coding gene,ribosomal protein lateral stalk subunit P2,0.181
Homo sapiens,RPS12,protein-coding gene,ribosomal protein S12,0.181
Homo sapiens,RPS14,protein-coding gene,ribosomal protein S14,0.181
Homo sapiens,RPS18,protein-coding gene,ribosomal protein S18,0.181
Homo sapiens,RPS19,protein-coding gene,ribosomal protein S19,0.181
Homo sapiens,RPS27,protein-coding gene,ribosomal protein S27,0.181
Homo sapiens,RPL11,protein-coding gene,ribosomal protein L11,0.18
Homo sapiens,RPS15,protein-coding gene,ribosomal protein S15,0.18
Homo sapiens,MT-ND4,protein-coding gene,mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 4,0.179
Homo sapiens,RPL15,protein-coding gene,ribosomal protein L15,0.179
Homo sapiens,RPL3,protein-coding gene,ribosomal protein L3,0.179
Homo sapiens,RPL8,protein-coding gene,ribosomal protein L8,0.179
Homo sapiens,RPS27A,protein-coding gene,ribosomal protein S27a,0.179
Homo sapiens,RPS6,protein-coding gene,ribosomal protein S6,0.179
Homo sapiens,H3F3B,protein-coding gene,H3 histone family member 3B,0.178
Homo sapiens,RPL13A,protein-coding gene,ribosomal protein L13a,0.178
Homo sapiens,RPL35,protein-coding gene,ribosomal protein L35,0.178
Homo sapiens,RPS3,protein-coding gene,ribosomal protein S3,0.178
Homo sapiens,FTL,protein-coding gene,ferritin light chain,0.177
Homo sapiens,RPL35A,protein-coding gene,ribosomal protein L35a,0.177
Homo sapiens,RPL37A,protein-coding gene,ribosomal protein L37a,0.177
Homo sapiens,TPT1,protein-coding gene,"tumor protein, translationally-controlled 1",0.177
Homo sapiens,FAU,protein-coding gene,"FAU, ubiquitin like and ribosomal protein S30 fusion",0.176
Homo sapiens,MT-CYB,protein-coding gene,mitochondrially encoded cytochrome b,0.176
Homo sapiens,RPL10,protein-coding gene,ribosomal protein L10,0.176
Homo sapiens,RPL12,protein-coding gene,ribosomal protein L12,0.176
Homo sapiens,RPL27A,protein-coding gene,ribosomal protein L27a,0.176
Homo sapiens,RPS25,protein-coding gene,ribosomal protein S25,0.176
Homo sapiens,RPS8,protein-coding gene,ribosomal protein S8,0.176
Homo sapiens,ACTB,protein-coding gene,actin beta,0.175
Homo sapiens,MT-ND2,protein-coding gene,mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 2,0.175
Homo sapiens,RPL31,protein-coding gene,ribosomal protein L31,0.175
Homo sapiens,RPS24,protein-coding gene,ribosomal protein S24,0.175
Homo sapiens,RPS2,protein-coding gene,ribosomal protein S2,0.175
Homo sapiens,MT-ATP6,protein-coding gene,mitochondrially encoded ATP synthase membrane subunit 6,0.174
Homo sapiens,RPL9,protein-coding gene,ribosomal protein L9,0.174
Homo sapiens,RPS9,protein-coding gene,ribosomal protein S9,0.174
Homo sapiens,SERF2,protein-coding gene,small EDRK-rich factor 2,0.174
Homo sapiens,MT-ND1,protein-coding gene,mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 1,0.173
Homo sapiens,RPL28,protein-coding gene,ribosomal protein L28,0.173
Homo sapiens,RPL5,protein-coding gene,ribosomal protein L5,0.173
Homo sapiens,RPL7A,protein-coding gene,ribosomal protein L7a,0.173
Homo sapiens,RPS13,protein-coding gene,ribosomal protein S13,0.173
Homo sapiens,RPS16,protein-coding gene,ribosomal protein S16,0.173
Homo sapiens,RPS20,protein-coding gene,ribosomal protein S20,0.173
Homo sapiens,RPS3A,protein-coding gene,ribosomal protein S3A,0.173
Homo sapiens,RACK1,protein-coding gene,receptor for activated C kinase 1,0.172
Homo sapiens,RPL27,protein-coding gene,ribosomal protein L27,0.172
Homo sapiens,RPS4X,protein-coding gene,ribosomal protein S4 X-linked,0.172
Homo sapiens,RPS5,protein-coding gene,ribosomal protein S5,0.172
Homo sapiens,RPS7,protein-coding gene,ribosomal protein S7,0.172
Homo sapiens,ACTG1,protein-coding gene,actin gamma 1,0.171
Homo sapiens,MYL6,protein-coding gene,myosin light chain 6,0.171
Homo sapiens,PTMA,protein-coding gene,prothymosin alpha,0.171
Homo sapiens,RPL18,protein-coding gene,ribosomal protein L18,0.171
Homo sapiens,RPL24,protein-coding gene,ribosomal protein L24,0.171
Homo sapiens,RPL37,protein-coding gene,ribosomal protein L37,0.171
Homo sapiens,RPL7,protein-coding gene,ribosomal protein L7,0.171
Homo sapiens,RPS11,protein-coding gene,ribosomal protein S11,0.171
Homo sapiens,RPS15A,protein-coding gene,ribosomal protein S15a,0.171
Homo sapiens,RPS17,protein-coding gene,ribosomal protein S17,0.171
Homo sapiens,TMSB4X,protein-coding gene,thymosin beta 4 X-linked,0.171
Homo sapiens,RPL10A,protein-coding gene,ribosomal protein L10a,0.17
Homo sapiens,RPL14,protein-coding gene,ribosomal protein L14,0.17
Homo sapiens,RPL21,protein-coding gene,ribosomal protein L21,0.17
Homo sapiens,RPL29,protein-coding gene,ribosomal protein L29,0.17
Homo sapiens,RPLP0,protein-coding gene,ribosomal protein lateral stalk subunit P0,0.17
Homo sapiens,NACA,protein-coding gene,nascent polypeptide associated complex subunit alpha,0.169
Homo sapiens,RPL18A,protein-coding gene,ribosomal protein L18a,0.169
Homo sapiens,RPL36,protein-coding gene,ribosomal protein L36,0.169
Homo sapiens,RPL6,protein-coding gene,ribosomal protein L6,0.169
Homo sapiens,RPS28,protein-coding gene,ribosomal protein S28,0.169
Homo sapiens,PFDN5,protein-coding gene,prefoldin subunit 5,0.168
Homo sapiens,RPL38,protein-coding gene,ribosomal protein L38,0.168
Homo sapiens,TMSB10,protein-coding gene,thymosin beta 10,0.168
Homo sapiens,OAZ1,protein-coding gene,ornithine decarboxylase antizyme 1,0.167
Homo sapiens,RPL3P4,pseudogene,ribosomal protein L3 pseudogene 4,0.167
Homo sapiens,ATP5E,protein coding gene,"ATP synthase, H+ transporting, mitochondrial F1 complex, epsilon subunit",0.166
Homo sapiens,COX4I1,protein-coding gene,cytochrome c oxidase subunit 4I1,0.166
Homo sapiens,MT-RNR1,non-coding RNA,mitochondrially encoded 12S RNA,0.166
Homo sapiens,RPL4,protein-coding gene,ribosomal protein L4,0.166
Homo sapiens,BTF3,protein-coding gene,basic transcription factor 3,0.165
Homo sapiens,RPL23,protein-coding gene,ribosomal protein L23,0.165
Homo sapiens,RPSA,protein-coding gene,ribosomal protein SA,0.165
Homo sapiens,MT-ND5,protein-coding gene,mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 5,0.164
Homo sapiens,RPL26,protein-coding gene,ribosomal protein L26,0.164
Homo sapiens,CFL1,protein-coding gene,cofilin 1,0.163
Homo sapiens,COX7C,protein-coding gene,cytochrome c oxidase subunit 7C,0.163
Homo sapiens,SRP14,protein-coding gene,signal recognition particle 14,0.163
Homo sapiens,MT-ND3,protein-coding gene,mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 3,0.162
Homo sapiens,RPL22,protein-coding gene,ribosomal protein L22,0.162
Homo sapiens,RPS29,protein-coding gene,ribosomal protein S29,0.162
Homo sapiens,RPS21,protein-coding gene,ribosomal protein S21,0.161
Homo sapiens,AC073861.1,,,0.16
Homo sapiens,CALM2,protein-coding gene,calmodulin 2,0.16
Homo sapiens,YBX1,protein-coding gene,Y-box binding protein 1,0.16
Homo sapiens,AC007969.1,,,0.159
Homo sapiens,ATP5L,protein coding gene,"ATP synthase, H+ transporting, mitochondrial F0 complex, subunit G",0.158
Homo sapiens,RPL36AL,protein-coding gene,ribosomal protein L36a like,0.158
Homo sapiens,EEF2,protein-coding gene,eukaryotic translation elongation factor 2,0.157
Homo sapiens,HSP90AA1,protein-coding gene,heat shock protein 90 alpha family class A member 1,0.157
Homo sapiens,RPL7P9,pseudogene,ribosomal protein L7 pseudogene 9,0.157
Homo sapiens,DDX5,protein-coding gene,DEAD-box helicase 5,0.156
Homo sapiens,PABPC1,protein-coding gene,poly(A) binding protein cytoplasmic 1,0.156
Homo sapiens,RPL23A,protein-coding gene,ribosomal protein L23a,0.156
Homo sapiens,B2M,protein-coding gene,beta-2-microglobulin,0.154
Homo sapiens,HINT1,protein-coding gene,histidine triad nucleotide binding protein 1,0.154
Homo sapiens,HMGB1,protein-coding gene,high mobility group box 1,0.153
Homo sapiens,RPL39,protein-coding gene,ribosomal protein L39,0.153
Homo sapiens,HNRNPA2B1,protein-coding gene,heterogeneous nuclear ribonucleoprotein A2/B1,0.152
Homo sapiens,LRRC75A-AS1,non-coding RNA,LRRC75A antisense RNA 1,0.152
Homo sapiens,PFN1,protein-coding gene,profilin 1,0.152
Homo sapiens,COX7A2,protein-coding gene,cytochrome c oxidase subunit 7A2,0.151
Homo sapiens,EEF1B2,protein-coding gene,eukaryotic translation elongation factor 1 beta 2,0.151
Homo sapiens,AC008038.1,,,0.15
Homo sapiens,ATP5G2,protein coding gene,"ATP synthase, H+ transporting, mitochondrial F0 complex, subunit C2 (subunit 9)",0.15
Homo sapiens,HSP90AB1,protein-coding gene,heat shock protein 90 alpha family class B member 1,0.15
Homo sapiens,NPM1,protein-coding gene,nucleophosmin 1,0.15
Homo sapiens,SKP1,protein-coding gene,S-phase kinase associated protein 1,0.15
Homo sapiens,EEF1A1,protein-coding gene,eukaryotic translation elongation factor 1 alpha 1,0.149
Homo sapiens,COX6C,protein-coding gene,cytochrome c oxidase subunit 6C,0.148
Homo sapiens,ELOB,protein-coding gene,elongin B,0.147
Homo sapiens,NDUFA4,protein-coding gene,"NDUFA4, mitochondrial complex associated",0.147
Homo sapiens,TOMM7,protein-coding gene,translocase of outer mitochondrial membrane 7,0.146
Homo sapiens,ARPC2,protein-coding gene,actin related protein 2/3 complex subunit 2,0.144
Homo sapiens,HNRNPA1,protein-coding gene,heterogeneous nuclear ribonucleoprotein A1,0.144
Homo sapiens,RPL18AP3,pseudogene,ribosomal protein L18a pseudogene 3,0.143
Homo sapiens,RPS26,protein-coding gene,ribosomal protein S26,0.143
Homo sapiens,AC016739.1,,,0.142
Homo sapiens,MT-ND6,protein-coding gene,mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 6,0.142
Homo sapiens,RPL9P9,pseudogene,ribosomal protein L9 pseudogene 9,0.142
Homo sapiens,CHCHD2,protein-coding gene,coiled-coil-helix-coiled-coil-helix domain containing 2,0.141
Homo sapiens,EDF1,protein-coding gene,endothelial differentiation related factor 1,0.141
Homo sapiens,SUMO2,protein-coding gene,small ubiquitin-like modifier 2,0.141
Homo sapiens,AC024293.1,,,0.14
Homo sapiens,SNRPD2,protein-coding gene,small nuclear ribonucleoprotein D2 polypeptide,0.14
Homo sapiens,CALM1,protein-coding gene,calmodulin 1,0.139
Homo sapiens,COX6B1,protein-coding gene,cytochrome c oxidase subunit 6B1,0.139
Homo sapiens,RPS7P1,pseudogene,ribosomal protein S7 pseudogene 1,0.139
Homo sapiens,NAP1L1,protein-coding gene,nucleosome assembly protein 1 like 1,0.138
Homo sapiens,SUB1,protein-coding gene,"SUB1 homolog, transcriptional regulator",0.138
Homo sapiens,CCNI,protein-coding gene,cyclin I,0.137
Homo sapiens,CIRBP,protein-coding gene,cold inducible RNA binding protein,0.137
Homo sapiens,MYL12B,protein-coding gene,myosin light chain 12B,0.137
Homo sapiens,AP005202.1,,,0.136
Homo sapiens,GAS5,non-coding RNA,growth arrest specific 5,0.136
Homo sapiens,AC116533.1,,,0.135
Homo sapiens,EIF3E,protein-coding gene,eukaryotic translation initiation factor 3 subunit E,0.135
Homo sapiens,HSPA8,protein-coding gene,heat shock protein family A (Hsp70) member 8,0.135
Homo sapiens,RPL41,protein-coding gene,ribosomal protein L41,0.135
Homo sapiens,ALDOA,protein-coding gene,"aldolase, fructose-bisphosphate A",0.134
Homo sapiens,COX5B,protein-coding gene,cytochrome c oxidase subunit 5B,0.134
Homo sapiens,ITM2B,protein-coding gene,integral membrane protein 2B,0.134
