Species,Official gene symbol,Product type,Product description,UI
Homo sapiens,AP001324.1,,,0.133
Homo sapiens,COMMD6,protein-coding gene,COMM domain containing 6,0.133
Homo sapiens,MTATP6P1,pseudogene,MT-ATP6 pseudogene 1,0.133
Homo sapiens,MORF4L1,protein-coding gene,mortality factor 4 like 1,0.132
Homo sapiens,ATP6V1G1,protein-coding gene,ATPase H+ transporting V1 subunit G1,0.131
Homo sapiens,PPDPF,protein-coding gene,pancreatic progenitor cell differentiation and proliferation factor,0.131
Homo sapiens,DYNLL1,protein-coding gene,dynein light chain LC8-type 1,0.13
Homo sapiens,HNRNPDL,protein-coding gene,heterogeneous nuclear ribonucleoprotein D like,0.13
Homo sapiens,HNRNPK,protein-coding gene,heterogeneous nuclear ribonucleoprotein K,0.13
Homo sapiens,MYL12A,protein-coding gene,myosin light chain 12A,0.13
Homo sapiens,SOD1,protein-coding gene,superoxide dismutase 1,0.13
Homo sapiens,PSMA7,protein-coding gene,proteasome subunit alpha 7,0.129
Homo sapiens,AC073621.1,,,0.128
Homo sapiens,H2AFZ,protein-coding gene,H2A histone family member Z,0.128
Homo sapiens,PPIA,protein-coding gene,peptidylprolyl isomerase A,0.128
Homo sapiens,RPL10P16,pseudogene,ribosomal protein L10 pseudogene 16,0.128
Homo sapiens,SRSF5,protein-coding gene,serine and arginine rich splicing factor 5,0.128
Homo sapiens,EIF3K,protein-coding gene,eukaryotic translation initiation factor 3 subunit K,0.127
Homo sapiens,GPX4,protein-coding gene,glutathione peroxidase 4,0.127
Homo sapiens,SRSF3,protein-coding gene,serine and arginine rich splicing factor 3,0.127
Homo sapiens,AC008021.1,,,0.126
Homo sapiens,HLA-A,protein-coding gene,"major histocompatibility complex, class I, A",0.126
Homo sapiens,RBM39,protein-coding gene,RNA binding motif protein 39,0.126
Homo sapiens,TPI1,protein-coding gene,triosephosphate isomerase 1,0.126
Homo sapiens,SNHG5,non-coding RNA,small nucleolar RNA host gene 5,0.125
Homo sapiens,SSR4,protein-coding gene,signal sequence receptor subunit 4,0.125
Homo sapiens,TMBIM6,protein-coding gene,transmembrane BAX inhibitor motif containing 6,0.125
Homo sapiens,C14ORF2,,,0.124
Homo sapiens,CDC42,protein-coding gene,cell division cycle 42,0.124
Homo sapiens,GSTP1,protein-coding gene,glutathione S-transferase pi 1,0.124
Homo sapiens,H3F3A,protein-coding gene,H3 histone family member 3A,0.124
Homo sapiens,AC022431.1,,,0.123
Homo sapiens,BTG1,protein-coding gene,BTG anti-proliferation factor 1,0.123
Homo sapiens,RPL30,protein-coding gene,ribosomal protein L30,0.123
Homo sapiens,SLC25A3,protein-coding gene,solute carrier family 25 member 3,0.123
Homo sapiens,SON,protein-coding gene,SON DNA binding protein,0.123
Homo sapiens,ARPC3,protein-coding gene,actin related protein 2/3 complex subunit 3,0.122
Homo sapiens,EIF3H,protein-coding gene,eukaryotic translation initiation factor 3 subunit H,0.122
Homo sapiens,EIF4A2,protein-coding gene,eukaryotic translation initiation factor 4A2,0.122
Homo sapiens,ENO1,protein-coding gene,enolase 1,0.122
Homo sapiens,HNRNPC,protein-coding gene,heterogeneous nuclear ribonucleoprotein C (C1/C2),0.122
Homo sapiens,RAN,protein-coding gene,"RAN, member RAS oncogene family",0.122
Homo sapiens,CD63,protein-coding gene,CD63 molecule,0.121
Homo sapiens,RPS27AP16,pseudogene,ribosomal protein S27a pseudogene 16,0.121
Homo sapiens,S100A6,protein-coding gene,S100 calcium binding protein A6,0.121
Homo sapiens,SAP18,protein-coding gene,Sin3A associated protein 18,0.121
Homo sapiens,SEC61B,protein-coding gene,Sec61 translocon beta subunit,0.121
Homo sapiens,NDUFS5,protein-coding gene,NADH:ubiquinone oxidoreductase subunit S5,0.12
Homo sapiens,RPL13AP5,pseudogene,ribosomal protein L13a pseudogene 5,0.12
Homo sapiens,NEAT1,non-coding RNA,nuclear paraspeckle assembly transcript 1,0.119
Homo sapiens,NOP53,protein-coding gene,NOP53 ribosome biogenesis factor,0.118
Homo sapiens,POMP,protein-coding gene,proteasome maturation protein,0.118
Homo sapiens,RHOA,protein-coding gene,ras homolog family member A,0.118
Homo sapiens,AC012618.1,,,0.117
Homo sapiens,ATP5G3,protein coding gene,"ATP synthase, H+ transporting, mitochondrial F0 complex, subunit C3 (subunit 9)",0.117
Homo sapiens,ATP5J,protein coding gene,"ATP synthase, H+ transporting, mitochondrial F0 complex, subunit F",0.117
Homo sapiens,HLA-B,protein-coding gene,"major histocompatibility complex, class I, B",0.116
Homo sapiens,OST4,protein-coding gene,"oligosaccharyltransferase complex subunit 4, non-catalytic",0.116
Homo sapiens,PARK7,protein-coding gene,Parkinsonism associated deglycase,0.116
Homo sapiens,VIM,protein-coding gene,vimentin,0.116
Homo sapiens,COX6A1,protein-coding gene,cytochrome c oxidase subunit 6A1,0.115
Homo sapiens,HMGN1,protein-coding gene,high mobility group nucleosome binding domain 1,0.115
Homo sapiens,CNBP,protein-coding gene,CCHC-type zinc finger nucleic acid binding protein,0.114
Homo sapiens,GUK1,protein-coding gene,guanylate kinase 1,0.114
Homo sapiens,SARAF,protein-coding gene,store-operated calcium entry associated regulatory factor,0.114
Homo sapiens,SERP1,protein-coding gene,stress associated endoplasmic reticulum protein 1,0.114
Homo sapiens,TXN,protein-coding gene,thioredoxin,0.114
Homo sapiens,YWHAE,protein-coding gene,tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein epsilon,0.114
Homo sapiens,ATP5O,protein coding gene,"ATP synthase, H+ transporting, mitochondrial F1 complex, O subunit",0.113
Homo sapiens,COX8A,protein-coding gene,cytochrome c oxidase subunit 8A,0.113
Homo sapiens,HLA-C,protein-coding gene,"major histocompatibility complex, class I, C",0.113
Homo sapiens,PEBP1,protein-coding gene,phosphatidylethanolamine binding protein 1,0.113
Homo sapiens,RPL7AP6,pseudogene,ribosomal protein L7a pseudogene 6,0.113
Homo sapiens,ZFAS1,non-coding RNA,ZNFX1 antisense RNA 1,0.113
Homo sapiens,BRK1,protein-coding gene,"BRICK1, SCAR/WAVE actin nucleating complex subunit",0.112
Homo sapiens,LDHB,protein-coding gene,lactate dehydrogenase B,0.112
Homo sapiens,PNISR,protein-coding gene,PNN interacting serine and arginine rich protein,0.111
Homo sapiens,RAC1,protein-coding gene,Rac family small GTPase 1,0.111
Homo sapiens,RPS23,protein-coding gene,ribosomal protein S23,0.111
Homo sapiens,SEC61G,protein-coding gene,Sec61 translocon gamma subunit,0.111
Homo sapiens,SRSF7,protein-coding gene,serine and arginine rich splicing factor 7,0.111
Homo sapiens,AC026403.1,,,0.11
Homo sapiens,HNRNPU,protein-coding gene,heterogeneous nuclear ribonucleoprotein U,0.11
Homo sapiens,RPS20P14,pseudogene,ribosomal protein S20 pseudogene 14,0.11
Homo sapiens,SAT1,protein-coding gene,spermidine/spermine N1-acetyltransferase 1,0.11
Homo sapiens,TMEM258,protein-coding gene,transmembrane protein 258,0.11
Homo sapiens,TMEM59,protein-coding gene,transmembrane protein 59,0.11
Homo sapiens,EIF3F,protein-coding gene,eukaryotic translation initiation factor 3 subunit F,0.109
Homo sapiens,RPL13AP25,pseudogene,ribosomal protein L13a pseudogene 25,0.109
Homo sapiens,SLC25A5,protein-coding gene,solute carrier family 25 member 5,0.109
Homo sapiens,NDUFA1,protein-coding gene,NADH:ubiquinone oxidoreductase subunit A1,0.108
Homo sapiens,PSMB1,protein-coding gene,proteasome subunit beta 1,0.108
Homo sapiens,PTGES3,protein-coding gene,prostaglandin E synthase 3,0.108
Homo sapiens,SEM1,protein-coding gene,"SEM1, 26S proteasome complex subunit",0.108
Homo sapiens,NDUFB2,protein-coding gene,NADH:ubiquinone oxidoreductase subunit B2,0.107
Homo sapiens,SEC62,protein-coding gene,"SEC62 homolog, preprotein translocation factor",0.107
Homo sapiens,YWHAB,protein-coding gene,tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein beta,0.107
Homo sapiens,ARF1,protein-coding gene,ADP ribosylation factor 1,0.106
Homo sapiens,ATP5B,protein coding gene,"ATP synthase, H+ transporting mitochondrial F1 complex, beta subunit",0.106
Homo sapiens,ATP6V0E1,protein-coding gene,ATPase H+ transporting V0 subunit e1,0.106
Homo sapiens,NEDD8,protein-coding gene,"neural precursor cell expressed, developmentally down-regulated 8",0.106
Homo sapiens,POLR2L,protein-coding gene,RNA polymerase II subunit L,0.106
Homo sapiens,RNASEK,protein-coding gene,ribonuclease K,0.106
Homo sapiens,RPL10P9,pseudogene,ribosomal protein L10 pseudogene 9,0.106
Homo sapiens,CLIC1,protein-coding gene,chloride intracellular channel 1,0.105
Homo sapiens,COX7B,protein-coding gene,cytochrome c oxidase subunit 7B,0.105
Homo sapiens,FO393411.1,,,0.105
Homo sapiens,HSP90B1,protein-coding gene,heat shock protein 90 beta family member 1,0.105
Homo sapiens,PRDX5,protein-coding gene,peroxiredoxin 5,0.105
Homo sapiens,SNX3,protein-coding gene,sorting nexin 3,0.105
Homo sapiens,NCL,protein-coding gene,nucleolin,0.104
Homo sapiens,NUCKS1,protein-coding gene,nuclear casein kinase and cyclin dependent kinase substrate 1,0.104
Homo sapiens,RPS7P10,pseudogene,ribosomal protein S7 pseudogene 10,0.104
Homo sapiens,TRIR,protein-coding gene,telomerase RNA component interacting RNase,0.104
Homo sapiens,TUBB,protein-coding gene,tubulin beta class I,0.104
Homo sapiens,GNG5,protein-coding gene,G protein subunit gamma 5,0.103
Homo sapiens,RPS28P7,pseudogene,ribosomal protein S28 pseudogene 7,0.103
Homo sapiens,S100A10,protein-coding gene,S100 calcium binding protein A10,0.103
Homo sapiens,SEPT7,protein-coding gene,septin 7,0.103
Homo sapiens,SSR2,protein-coding gene,signal sequence receptor subunit 2,0.103
Homo sapiens,AC010343.1,,,0.102
Homo sapiens,GNAS,protein-coding gene,GNAS complex locus,0.102
Homo sapiens,LDHA,protein-coding gene,lactate dehydrogenase A,0.102
Homo sapiens,PKM,protein-coding gene,pyruvate kinase M1/2,0.102
Homo sapiens,SNU13,protein-coding gene,small nuclear ribonucleoprotein 13,0.102
Homo sapiens,SRSF2,protein-coding gene,serine and arginine rich splicing factor 2,0.102
Homo sapiens,ATPIF1,protein coding gene,ATPase inhibitory factor 1,0.101
Homo sapiens,RBX1,protein-coding gene,ring-box 1,0.101
Homo sapiens,S100A11,protein-coding gene,S100 calcium binding protein A11,0.101
Homo sapiens,SERBP1,protein-coding gene,SERPINE1 mRNA binding protein 1,0.101
Homo sapiens,YWHAZ,protein-coding gene,tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein zeta,0.101
Homo sapiens,ATP5A1,protein coding gene,"ATP synthase, H+ transporting, mitochondrial F1 complex, alpha subunit 1",0.1
Homo sapiens,EIF4G2,protein-coding gene,eukaryotic translation initiation factor 4 gamma 2,0.1
Homo sapiens,RPS4XP11,pseudogene,ribosomal protein S4X pseudogene 11,0.1
Homo sapiens,ARL6IP4,protein-coding gene,ADP ribosylation factor like GTPase 6 interacting protein 4,0.099
Homo sapiens,CSTB,protein-coding gene,cystatin B,0.099
Homo sapiens,HSPE1,protein-coding gene,heat shock protein family E (Hsp10) member 1,0.099
Homo sapiens,RBM3,protein-coding gene,RNA binding motif protein 3,0.099
Homo sapiens,ATP5D,protein coding gene,"ATP synthase, H+ transporting, mitochondrial F1 complex, delta subunit",0.098
Homo sapiens,CYCS,protein-coding gene,"cytochrome c, somatic",0.098
Homo sapiens,DSTN,protein-coding gene,"destrin, actin depolymerizing factor",0.098
Homo sapiens,RPL24P8,pseudogene,ribosomal protein L24 pseudogene 8,0.098
Homo sapiens,RPS13P2,pseudogene,ribosomal protein S13 pseudogene 2,0.098
Homo sapiens,RTN4,protein-coding gene,reticulon 4,0.098
Homo sapiens,SPCS1,protein-coding gene,signal peptidase complex subunit 1,0.098
Homo sapiens,ST13,protein-coding gene,"ST13, Hsp70 interacting protein",0.098
Homo sapiens,EID1,protein-coding gene,EP300 interacting inhibitor of differentiation 1,0.097
Homo sapiens,HLA-E,protein-coding gene,"major histocompatibility complex, class I, E",0.097
Homo sapiens,MTCO1P12,pseudogene,MT-CO1 pseudogene 12,0.097
Homo sapiens,C4ORF3,protein-coding gene,chromosome 4 open reading frame 3,0.096
Homo sapiens,COX5A,protein-coding gene,cytochrome c oxidase subunit 5A,0.096
Homo sapiens,ERH,protein-coding gene,"ERH, mRNA splicing and mitosis factor",0.096
Homo sapiens,NDUFB11,protein-coding gene,NADH:ubiquinone oxidoreductase subunit B11,0.096
Homo sapiens,SET,protein-coding gene,SET nuclear proto-oncogene,0.096
Homo sapiens,SNHG6,non-coding RNA,small nucleolar RNA host gene 6,0.096
Homo sapiens,C11ORF58,protein-coding gene,chromosome 11 open reading frame 58,0.095
Homo sapiens,CST3,protein-coding gene,cystatin C,0.095
Homo sapiens,DNAJA1,protein-coding gene,DnaJ heat shock protein family (Hsp40) member A1,0.095
Homo sapiens,EIF5,protein-coding gene,eukaryotic translation initiation factor 5,0.095
Homo sapiens,HNRNPA0,protein-coding gene,heterogeneous nuclear ribonucleoprotein A0,0.095
Homo sapiens,RPL34P18,pseudogene,ribosomal protein L34 pseudogene 18,0.095
Homo sapiens,C19ORF53,protein-coding gene,chromosome 19 open reading frame 53,0.094
Homo sapiens,C6ORF48,protein-coding gene,chromosome 6 open reading frame 48,0.094
Homo sapiens,CLTA,protein-coding gene,clathrin light chain A,0.094
Homo sapiens,DBI,protein-coding gene,"diazepam binding inhibitor, acyl-CoA binding protein",0.094
Homo sapiens,GABARAPL2,protein-coding gene,GABA type A receptor associated protein like 2,0.094
Homo sapiens,HNRNPH1,protein-coding gene,heterogeneous nuclear ribonucleoprotein H1,0.094
Homo sapiens,JUNB,protein-coding gene,"JunB proto-oncogene, AP-1 transcription factor subunit",0.094
Homo sapiens,PRDX6,protein-coding gene,peroxiredoxin 6,0.094
Homo sapiens,PSAP,protein-coding gene,prosaposin,0.094
Homo sapiens,SNRPE,protein-coding gene,small nuclear ribonucleoprotein polypeptide E,0.094
Homo sapiens,ANAPC11,protein-coding gene,anaphase promoting complex subunit 11,0.093
Homo sapiens,CUTA,protein-coding gene,cutA divalent cation tolerance homolog,0.093
Homo sapiens,FKBP1A,protein-coding gene,FK506 binding protein 1A,0.093
Homo sapiens,GPX1,protein-coding gene,glutathione peroxidase 1,0.093
Homo sapiens,HSBP1,protein-coding gene,heat shock factor binding protein 1,0.093
Homo sapiens,RPS27L,protein-coding gene,ribosomal protein S27 like,0.093
Homo sapiens,APRT,protein-coding gene,adenine phosphoribosyltransferase,0.092
Homo sapiens,BSG,protein-coding gene,basigin (Ok blood group),0.092
Homo sapiens,LAPTM4A,protein-coding gene,lysosomal protein transmembrane 4 alpha,0.092
Homo sapiens,NDUFB7,protein-coding gene,NADH:ubiquinone oxidoreductase subunit B7,0.092
Homo sapiens,NDUFB9,protein-coding gene,NADH:ubiquinone oxidoreductase subunit B9,0.092
Homo sapiens,PCBP2,protein-coding gene,poly(rC) binding protein 2,0.092
